Latitude,Longitude,rainfall,temperature,clay,sand,silt,river_distance,Elevation,Slope,Flood_Index,Flood_Score
12.7,76.1,4.984246575,22.84419178,345,426,228,112102.6744,905,89.9899292,0.41388404979233206,3
12.7,76.2,4.984246575,22.84419178,325,428,247,99235.78216,892,89.99204254,0.41764138826031344,3
12.7,76.3,4.984246575,22.84419178,338,438,224,189335.0712,853,89.98575592,0.3936888753866958,2
12.7,76.4,4.984246575,22.84419178,347,379,274,126993.3176,786,89.96816254,0.4301682933887732,3
12.7,76.5,4.984246575,22.84419178,316,410,274,127286.9813,823,89.99288177,0.41881226361822177,3
12.7,76.6,4.696109589,23.84473973,346,413,241,41414.07276,874,89.96816254,0.430590554336671,3
12.7,76.7,4.696109589,23.84473973,319,437,244,149067.7336,842,89.99407959,0.39505233804968415,2
12.7,76.8,4.696109589,23.84473973,310,449,242,96338.95591,756,89.99591827,0.41949498941995356,3
12.7,76.9,4.696109589,23.84473973,314,447,240,58215.02373,700,89.98407745,0.43873306187879424,3
12.7,77.0,4.696109589,23.84473973,330,392,277,98723.19661,657,89.99375153,0.43990053690022146,3
12.7,77.1,4.696109589,23.84473973,309,481,210,183211.7702,674,89.9899292,0.3973900141565237,2
12.7,77.2,3.90090411,23.8090411,273,489,238,196044.5717,820,89.99828339,0.34116729916109,1
12.7,77.3,3.90090411,23.8090411,283,486,231,192291.6746,674,89.9949646,0.3609323393183132,2
12.7,77.4,3.90090411,23.8090411,279,473,248,195798.4883,676,89.99604797,0.3610745465808699,2
