Latitude,Longitude,rainfall,temperature
13.6,78,4.353643836,23.32747945
13.6,78.1,4.353643836,23.32747945
13.6,78.2,4.353643836,23.32747945
13.6,78.3,4.353643836,23.32747945
13.6,78.4,4.353643836,23.32747945
13.7,75,10.30813699,25.14427397
13.7,75.1,10.30813699,25.14427397
13.7,75.2,10.30813699,25.14427397
13.7,75.3,10.30813699,25.14427397
13.7,75.4,5.685123288,22.18046575
13.7,75.5,5.685123288,22.18046575
13.7,75.6,5.685123288,22.18046575
13.7,75.7,5.685123288,22.18046575
13.7,75.8,5.685123288,22.18046575
13.7,75.9,5.685123288,22.18046575
13.7,76,3.912630137,23.08761644
13.7,76.1,3.912630137,23.08761644
13.7,76.2,3.912630137,23.08761644
13.7,76.3,3.912630137,23.08761644
13.7,76.4,3.912630137,23.08761644
13.7,76.5,3.912630137,23.08761644
13.7,76.6,4.485178082,23.57408219
13.7,76.7,4.485178082,23.57408219
13.7,76.8,4.485178082,23.57408219
13.7,76.9,4.485178082,23.57408219
13.7,77,4.485178082,23.57408219
13.7,77.1,4.485178082,23.57408219
13.7,77.2,3.664082192,23.44876712
13.7,77.3,3.664082192,23.44876712
13.7,77.4,3.664082192,23.44876712
13.7,77.5,3.664082192,23.44876712
13.7,77.6,3.664082192,23.44876712
13.7,77.7,3.664082192,23.44876712
13.7,77.8,3.664082192,23.44876712
13.7,77.9,4.353643836,23.32747945
13.7,78,4.353643836,23.32747945
13.7,78.1,4.353643836,23.32747945
13.7,78.2,4.353643836,23.32747945
13.7,78.3,4.353643836,23.32747945
13.7,78.4,4.353643836,23.32747945
13.8,75,9.040383562,23.95835616
13.8,75.1,9.040383562,23.95835616
13.8,75.2,9.040383562,23.95835616
13.8,75.3,9.040383562,23.95835616
13.8,75.4,4.148931507,23.57112329
13.8,75.5,4.148931507,23.57112329
13.8,75.6,4.148931507,23.57112329
13.8,75.7,4.148931507,23.57112329
13.8,75.8,4.148931507,23.57112329
13.8,75.9,4.148931507,23.57112329
13.8,76,2.957835616,24.11350685
13.8,76.1,2.957835616,24.11350685
13.8,76.2,2.957835616,24.11350685
13.8,76.3,2.957835616,24.11350685
13.8,76.4,2.957835616,24.11350685
13.8,76.5,2.957835616,24.11350685
13.8,76.6,3.161835616,24.54156164
13.8,76.7,3.161835616,24.54156164
13.8,76.8,3.161835616,24.54156164
13.8,76.9,3.161835616,24.54156164
13.8,77,3.161835616,24.54156164
13.8,77.1,3.161835616,24.54156164
13.8,77.2,2.777917808,24.8690137
13.8,77.3,2.777917808,24.8690137
13.8,77.4,2.777917808,24.8690137
13.8,77.5,2.777917808,24.8690137
13.8,77.6,2.777917808,24.8690137
13.8,77.7,2.777917808,24.8690137
13.8,77.8,2.777917808,24.8690137
13.8,77.9,3.110219178,24.71750685
13.8,78,3.110219178,24.71750685
13.8,78.1,3.110219178,24.71750685
13.8,78.2,3.110219178,24.71750685
13.8,78.3,3.110219178,24.71750685
13.8,78.4,3.110219178,24.71750685
13.9,75,9.040383562,23.95835616
13.9,75.1,9.040383562,23.95835616
13.9,75.2,9.040383562,23.95835616
13.9,75.3,9.040383562,23.95835616
13.9,75.4,4.148931507,23.57112329
13.9,75.5,4.148931507,23.57112329
